username,register_ts,device_os,lang,country,day_reg
williamlambert,2022-05-19 09:38:31,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang1,country2,2022-05-19
carol21,2023-03-13 21:40:10,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang2,country2,2023-03-13
jordanalvarado,2022-09-05 11:08:55,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang2,country2,2022-09-05
xellis,2022-09-28 20:08:50,iPad; CPU iPad OS 10_3_3 like Mac OS X,lang2,country2,2022-09-28
pattydavis,2022-04-20 12:04:38,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country3,2022-04-20
katherinerosales,2022-10-04 20:58:17,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang2,country2,2022-10-04
abbottdonna,2022-06-02 23:00:08,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2022-06-02
uriley,2022-11-23 11:17:02,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country3,2022-11-23
williamsjeffrey,2022-08-17 19:10:34,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang1,country3,2022-08-17
ppowers,2022-11-07 15:16:02,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang2,country2,2022-11-07
brandon65,2022-04-02 20:18:10,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country2,2022-04-02
jennifer77,2022-09-18 13:14:10,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country3,2022-09-18
kristenwilliams,2023-04-28 13:26:00,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2023-04-28
ronaldhoward,2022-09-30 14:37:04,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country3,2022-09-30
catherinebrock,2022-07-01 10:07:04,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang1,country2,2022-07-01
dianewillis,2023-01-27 10:52:39,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country3,2023-01-27
fitzpatrickvincent,2022-07-13 03:34:23,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country3,2022-07-13
martincrawford,2022-11-21 18:53:50,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang2,country2,2022-11-21
samantha50,2022-05-27 17:33:50,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country1,2022-05-27
jessica82,2022-07-23 14:31:23,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang1,country3,2022-07-23
jchavez,2022-11-05 07:34:52,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang2,country2,2022-11-05
caitlin03,2022-07-31 13:11:16,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country2,2022-07-31
sblack,2022-11-02 23:43:00,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang2,country2,2022-11-02
samantha27,2022-10-30 16:59:33,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang2,country2,2022-10-30
jason92,2022-08-29 17:17:42,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country3,2022-08-29
bethclark,2022-11-03 01:31:13,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country3,2022-11-03
leecindy,2022-07-13 00:52:18,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang1,country3,2022-07-13
nruiz,2022-04-16 21:20:30,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country2,2022-04-16
ronaldmccoy,2022-11-24 10:56:23,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang2,country2,2022-11-24
elizabethperez,2022-07-23 22:34:59,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country2,2022-07-23
woodvanessa,2022-10-15 17:42:53,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,lang2,country2,2022-10-15
stacy63,2022-10-11 23:51:50,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang2,country2,2022-10-11
oharrison,2022-04-21 08:41:49,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country1,2022-04-21
palmerheather,2023-02-14 23:48:34,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country3,2023-02-14
geoffrey00,2022-06-05 17:05:43,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country2,2022-06-05
elizabethclark,2022-08-14 16:09:45,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang2,country2,2022-08-14
kristydavis,2022-08-01 21:02:59,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,lang1,country2,2022-08-01
andrew66,2022-04-20 23:45:16,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country2,2022-04-20
qsilva,2022-12-14 17:06:34,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country3,2022-12-14
fletchertracy,2022-10-13 16:26:10,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country1,2022-10-13
rachelmoore,2022-05-23 12:15:07,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang1,country3,2022-05-23
nicholas03,2022-04-24 14:08:38,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country3,2022-04-24
katherineroberts,2023-01-31 14:52:37,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2023-01-31
mooresara,2023-05-26 18:16:48,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country3,2023-05-26
holdenjeffery,2022-06-13 23:53:23,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country3,2022-06-13
vmcintyre,2022-10-16 14:38:52,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,lang2,country2,2022-10-16
nicholas12,2023-05-26 14:16:54,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang1,country3,2023-05-26
taylorjeffrey,2023-01-04 18:30:05,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2023-01-04
trevor04,2022-06-20 15:20:22,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country2,2022-06-20
christopher45,2022-03-29 18:34:08,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,lang1,country3,2022-03-29
marcusvasquez,2022-05-19 13:41:11,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country2,2022-05-19
tammyandrews,2022-05-29 20:58:17,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,lang1,country2,2022-05-29
taylorbrian,2022-07-12 15:26:44,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang1,country2,2022-07-12
campbellbrandy,2022-07-21 18:31:07,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country2,2022-07-21
rebeccarowe,2022-07-31 16:58:11,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang1,country2,2022-07-31
anthonybradley,2023-01-09 20:01:33,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2023-01-09
tbarnes,2022-09-28 12:58:00,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country3,2022-09-28
jenniferclark,2022-12-24 23:00:59,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang2,country2,2022-12-24
ellisthomas,2022-09-16 05:47:32,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang2,country2,2022-09-16
wcontreras,2022-12-07 13:26:01,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang2,country2,2022-12-07
yvonneglenn,2022-10-13 19:24:47,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang2,country2,2022-10-13
clarkbrian,2022-12-22 09:27:27,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang2,country2,2022-12-22
tracy74,2022-03-29 23:36:07,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang1,country3,2022-03-29
fgibson,2023-01-26 01:02:04,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country3,2023-01-26
grantnicole,2022-10-04 14:58:41,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country3,2022-10-04
zpadilla,2023-05-27 16:44:21,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2023-05-27
chadpalmer,2023-03-14 17:54:53,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang2,country2,2023-03-14
brandon45,2022-07-17 08:30:15,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country2,2022-07-17
jonesjames,2022-06-20 14:39:05,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country3,2022-06-20
efletcher,2022-04-28 10:19:18,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country3,2022-04-28
kellermarissa,2022-10-11 16:32:25,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-10-11
kross,2022-09-14 20:10:13,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang2,country2,2022-09-14
wangnatalie,2023-05-22 19:55:17,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang2,country2,2023-05-22
mcdowellmichael,2022-12-01 17:16:42,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang2,country2,2022-12-01
kimberly05,2022-04-18 15:50:53,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country2,2022-04-18
jared13,2022-04-20 11:40:23,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country2,2022-04-20
robinsonemma,2022-06-27 13:50:03,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country3,2022-06-27
feliciajordan,2022-05-20 11:16:56,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country2,2022-05-20
derrick45,2022-12-11 20:12:32,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang2,country2,2022-12-11
ashley22,2022-12-31 17:26:21,iPad; CPU iPad OS 14_2 like Mac OS X,lang2,country2,2022-12-31
mlong,2022-04-08 06:45:56,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang1,country3,2022-04-08
wanderson,2022-09-06 09:14:03,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang2,country2,2022-09-06
lwallace,2022-07-26 11:48:34,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country2,2022-07-26
bishopangela,2022-11-21 22:13:18,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang2,country2,2022-11-21
williammiles,2023-05-05 15:19:10,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang2,country2,2023-05-05
xcox,2022-08-24 08:06:18,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang2,country2,2022-08-24
folson,2022-03-27 00:59:26,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country2,2022-03-27
cameron93,2022-08-11 14:57:52,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2022-08-11
kristiejones,2023-04-25 10:42:25,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang2,country2,2023-04-25
aaron15,2023-04-23 18:48:11,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country3,2023-04-23
tylerwilliams,2022-05-28 15:27:42,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country2,2022-05-28
lgolden,2022-08-18 14:43:51,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang2,country2,2022-08-18
briannaallen,2023-06-01 17:35:42,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang2,country2,2023-06-01
graynicholas,2023-05-19 09:48:25,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country1,2023-05-19
feliciabrewer,2023-03-10 17:26:53,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang2,country2,2023-03-10
mark49,2023-03-16 14:34:21,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,lang1,country1,2023-03-16
snydersean,2023-01-15 13:29:28,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang2,country2,2023-01-15
andrew26,2023-02-23 09:53:25,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang2,country2,2023-02-23
jacquelinemathis,2022-06-21 20:40:01,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country2,2022-06-21
curtisedward,2022-07-21 13:46:19,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country2,2022-07-21
hughesdaniel,2022-09-25 07:33:55,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang2,country2,2022-09-25
dmorgan,2022-11-23 09:29:58,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang2,country2,2022-11-23
howellmelissa,2022-06-15 21:05:12,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country2,2022-06-15
nrobles,2022-07-27 01:40:46,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang1,country2,2022-07-27
zoerhodes,2022-10-04 16:02:17,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang1,country1,2022-10-04
ilopez,2022-06-15 14:49:19,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country2,2022-06-15
stevennewman,2022-04-13 10:30:35,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,lang1,country2,2022-04-13
alicia26,2022-05-16 09:48:21,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country2,2022-05-16
gbowers,2022-11-20 07:40:07,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country1,2022-11-20
john57,2022-04-18 09:34:37,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang1,country3,2022-04-18
donald41,2022-08-25 13:51:54,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang2,country2,2022-08-25
shill,2022-10-21 14:02:19,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country3,2022-10-21
jtran,2022-12-08 16:15:43,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang2,country2,2022-12-08
melissajones,2022-05-10 12:04:02,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang1,country1,2022-05-10
lclark,2022-08-15 17:24:33,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang2,country2,2022-08-15
karagonzalez,2022-08-02 17:30:28,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang1,country1,2022-08-02
jasonwalker,2022-06-24 13:28:14,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country2,2022-06-24
greerlisa,2022-05-11 20:13:54,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country3,2022-05-11
traviscrane,2022-06-10 07:20:34,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang1,country2,2022-06-10
pittsjustin,2023-06-01 13:45:09,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country3,2023-06-01
johnbray,2022-10-24 17:08:31,iPad; CPU iPad OS 12_4_8 like Mac OS X,lang2,country2,2022-10-24
phillip55,2022-12-12 13:26:01,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang2,country2,2022-12-12
janetpruitt,2022-12-01 15:00:51,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang2,country2,2022-12-01
kimberlynelson,2023-05-09 20:53:38,iPad; CPU iPad OS 6_1_6 like Mac OS X,lang2,country2,2023-05-09
kayla54,2022-04-25 23:47:01,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country2,2022-04-25
valenciakristin,2022-06-08 20:20:27,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country3,2022-06-08
dgross,2022-10-26 11:29:17,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang2,country2,2022-10-26
deanwright,2022-07-27 20:14:01,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang1,country2,2022-07-27
johnfisher,2023-04-03 13:45:42,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2023-04-03
veronica23,2023-01-30 23:17:14,iPad; CPU iPad OS 3_1_3 like Mac OS X,lang2,country2,2023-01-30
jillleonard,2022-03-26 08:39:43,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country1,2022-03-26
barbarahansen,2022-03-27 15:43:13,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country1,2022-03-27
watsondonna,2023-01-01 17:19:02,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang2,country2,2023-01-01
davisjeffrey,2023-04-28 14:04:40,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2023-04-28
tmalone,2022-04-03 17:02:03,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang1,country3,2022-04-03
heidi89,2022-09-05 13:21:45,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang1,country3,2022-09-05
cheryltorres,2022-07-02 07:19:18,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,lang1,country2,2022-07-02
holmeskevin,2023-03-13 10:27:28,iPad; CPU iPad OS 10_3_4 like Mac OS X,lang1,country3,2023-03-13
berrygina,2023-05-22 23:00:01,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang2,country2,2023-05-22
danielcombs,2023-03-29 10:48:39,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2023-03-29
collinsbrooke,2022-09-01 09:58:30,iPad; CPU iPad OS 10_3_3 like Mac OS X,lang2,country2,2022-09-01
shirleynelson,2022-09-13 08:39:13,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang2,country2,2022-09-13
barnettsavannah,2022-12-07 20:48:48,iPad; CPU iPad OS 9_3_5 like Mac OS X,lang2,country2,2022-12-07
lisa31,2022-10-27 12:40:31,iPad; CPU iPad OS 14_2_1 like Mac OS X,lang1,country3,2022-10-27
scott17,2022-08-18 10:35:04,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,lang2,country2,2022-08-18
jamesmorgan,2022-11-29 13:02:35,iPad; CPU iPad OS 5_1_1 like Mac OS X,lang1,country3,2022-11-29
aaronbishop,2022-04-06 03:09:14,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang1,country2,2022-04-06
shanenguyen,2022-08-25 06:36:31,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang2,country2,2022-08-25
rebeccapearson,2022-04-10 17:10:40,iPad; CPU iPad OS 14_2 like Mac OS X,lang1,country2,2022-04-10
ernestmacdonald,2022-03-28 19:51:30,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang1,country2,2022-03-28
kenneth31,2022-09-15 14:23:28,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,lang2,country2,2022-09-15
istewart,2022-04-28 15:04:33,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang1,country1,2022-04-28
paulbeard,2022-05-27 22:28:12,iPhone; CPU iPhone OS 14_2 like Mac OS X,lang1,country3,2022-05-27
donna70,2022-05-16 17:58:24,iPad; CPU iPad OS 7_1_2 like Mac OS X,lang1,country3,2022-05-16
falvarado,2022-09-22 21:32:03,iPhone; CPU iPhone OS 9_3_5 like Mac OS X,lang1,country3,2022-09-22
theresatravis,2022-11-19 19:59:19,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,lang1,country3,2022-11-19
amanda98,2022-12-24 15:05:02,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang1,country3,2022-12-24
terrellvincent,2023-01-30 06:34:26,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,lang1,country3,2023-01-30
shannon23,2023-05-30 17:15:29,iPad; CPU iPad OS 9_3_6 like Mac OS X,lang2,country2,2023-05-30
johnleon,2022-06-04 10:07:23,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,lang1,country2,2022-06-04
nacevedo,2022-08-22 12:40:41,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,lang2,country2,2022-08-22
tylerking,2023-01-04 01:35:10,iPad; CPU iPad OS 4_2_1 like Mac OS X,lang1,country3,2023-01-04
jenniferadams,2023-02-08 17:09:59,iPhone; CPU iPhone OS 10_3_4 like Mac OS X,lang2,country2,2023-02-08
